,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1408,방학3동 740동양크레오아파트,서울특별시 도봉구 시루봉로166,주차장,7573.0,127.030228,37.664405
1410,대상타운현대아파트,서울특별시 도봉구 마들로616,주차장,68099.48,127.048155,37.664974
1411,효성하이타운아파트,서울특별시 도봉구 방학로11길33,주차장,5344.0,127.032909,37.661323
1412,한양6차아파트대피소,서울특별시 도봉구 시루봉로58,주차장,6277.71,127.029239,37.655748
1413,건영아파트,서울특별시 도봉구 우이천로20길7,주차장,2644.64,127.033996,37.641299
1414,한신아파트,서울특별시 도봉구 도봉로110다길5,주차장,1652.9,127.034824,37.645691
1415,삼성래미안아파트,서울특별시 도봉구 마들로646,주차장,3107.45,127.04739,37.666898
1416,삼성래미안아파트,서울특별시 도봉구 도봉로150길42,주차장,1355.38,127.045805,37.665064
1417,19번지 엘지트윈,서울특별시 도봉구 도당로10,주차장,2970.0,127.035292,37.659071
1419,이수아파트,서울특별시 도봉구 도봉로146길36,주차장,3966.96,127.045053,37.663477
1420,도봉구청(지하),서울특별시 도봉구 마들로656,공공시설,15960.4,127.04705,37.668629
1421,818번지 현대4차아파트,서울특별시 도봉구 노해로69가길54,주차장,7917.39,127.046222,37.658813
1422,삼성래미안아파트,서울특별시 도봉구 우이천로328,주차장,1342.15,127.027929,37.646768
1424,서원사회복지관,서울특별시 도봉구 마들로668,공공시설,1518.0,127.046542,37.669623
1425,동아에코빌아파트,서울특별시 도봉구 도봉로180길 6-23,주차장,27300.0,127.046835,37.681458
1426,723신원2차아파트,서울특별시 도봉구 해등로190,주차장,4950.0,127.035864,37.658323
1427,815번지현대2차아파트,서울특별시 도봉구 도봉로136길111,주차장,19593.0,127.046112,37.660942
1429,럭키아파트,서울특별시 도봉구 도봉로169길31,주차장,2527.0,127.044498,37.679404
1431,서울가든아파트1동,서울특별시 도봉구 도봉산길 35,주차장,2395.0,127.041454,37.686463
1434,743-15 성원아파트,서울특별시 도봉구 마들로16길56,주차장,8866.16,127.049605,37.660745
1436,창3동주민센터,서울특별시 도봉구 덕릉로62길89,공공시설,419.0,127.042867,37.63811
1438,대원그린아파트,서울특별시 도봉구 방학로212-11,주차장,1305.0,127.028162,37.662622
1440,신원에벤에셀아파트,서울특별시 도봉구 해등로255,주차장,4492.58,127.028208,37.657328
1441,미라보아파트대피소,서울특별시 도봉구 시루봉로2길62,주차장,1157.03,127.031662,37.655319
1442,극동아파트,서울특별시 도봉구 노해로45길26,주차장,1322.32,127.02728,37.651299
1443,염광아파트,서울특별시 도봉구 우이천로30길28,주차장,661.16,127.026311,37.64842
1445,창5동동아그린아파트,서울특별시 도봉구 노해로63다길34,주차장,3239.68,127.046408,37.654475
1446,대우아파트,서울특별시 도봉구 덕릉로63가길43,주차장,13223.2,127.037502,37.642357
1447,성원아파트101동,서울특별시 도봉구 방학로7길16,주차장,3305.8,127.035894,37.661506
1452,방아골종합사회복지관,서울특별시 도봉구 시루봉로17길42,공공시설,1255.79,127.032581,37.66928
